"Latitude","Longitude","problem"
25.421477,81.566136,"Accident"
25.419466,81.564334,"Pothole"
25.422359,81.566265,"Accident"
25.422359,81.566265,"Pothole"
25.422767,81.5677,"Accident"
25.421477,81.566136,"Pothole"
25.422767,81.5677,"Lightening"
25.419466,81.564334,"Pothole"
25.422767,81.5677,"Pothole"
25.421003,81.564402,"Lightening"
25.421723,81.567605,"Lightening"
25.418069,81.572267,"Pothole"
25.418582,81.574392,"Pothole"
25.422288,81.569547,"Lightening"
25.423628,81.568582,"Pothole"
25.421656,81.571248,"Pothole"
25.418582,81.574392,"Lightening"
25.421236,81.571574,"Pothole"
25.422614,81.568712,"Accident"
25.422288,81.569547,"Pothole"
25.420167,81.57169,"Pothole"
25.422988,81.570448,"Accident"
25.42067,81.570534,"Accident"
25.421656,81.571248,"Pothole"
25.4212,81.569438,"Lightening"
25.424358,81.567736,"Accident"
25.423033,81.567317,"Lightening"
25.421656,81.571248,"Pothole"
25.421656,81.571248,"Lightening"
25.422329,81.570133,"Accident"
25.424358,81.567736,"Lightening"
25.422329,81.570133,"Pothole"
25.421723,81.567605,"Accident"
25.422614,81.568712,"Pothole"
25.4212,81.569438,"Lightening"
25.421723,81.567605,"Accident"
25.4212,81.569438,"Pothole"
25.42067,81.570534,"Accident"
25.422329,81.570133,"Accident"
25.418069,81.572267,"Pothole"
25.418582,81.574392,"Lightening"
25.421656,81.571248,"Pothole"
25.419183,81.566974,"Lightening"
25.418181,81.564485,"Pothole"
25.420042,81.565539,"Accident"
25.418977,81.568107,"Accident"
25.418951,81.564121,"Pothole"
25.418181,81.564485,"Lightening"
25.420219,81.56722,"Accident"
25.418861,81.563054,"Lightening"
25.419055,81.562613,"Lightening"
25.420143,81.56987,"Accident"
25.419295,81.570613,"Accident"
25.420122,81.570638,"Accident"
25.420122,81.570638,"Lightening"
25.420122,81.570638,"Lightening"
25.417173,81.568422,"Accident"
25.419813,81.569171,"Accident"
25.417173,81.568422,"Pothole"
25.420122,81.570638,"Pothole"
25.419813,81.569171,"Pothole"
25.419295,81.570613,"Accident"
25.419295,81.570613,"Lightening"
25.419813,81.569171,"Pothole"
25.419295,81.570613,"Lightening"
25.419813,81.569171,"Lightening"
25.420143,81.56987,"Pothole"
25.420122,81.570638,"Lightening"
25.417697,81.569794,"Pothole"
25.417697,81.569794,"Pothole"
25.419813,81.569171,"Accident"
25.417697,81.569794,"Pothole"
25.417173,81.568422,"Accident"
25.420122,81.570638,"Pothole"
25.42068,81.568638,"Lightening"
25.419813,81.569171,"Pothole"
25.419813,81.569171,"Accident"
25.417697,81.569794,"Lightening"
25.417697,81.569794,"Lightening"
25.418127,81.567571,"Accident"
25.417173,81.568422,"Accident"
25.411808,81.567589,"Pothole"
25.416255,81.5704,"Accident"
25.412843,81.566721,"Pothole"
25.411808,81.567589,"Lightening"
25.416255,81.5704,"Accident"
25.417778,81.572891,"Accident"
25.417778,81.572891,"Lightening"
25.413605,81.568463,"Pothole"
25.416365,81.567509,"Lightening"
25.411808,81.567589,"Accident"
25.413156,81.569602,"Lightening"
25.416255,81.5704,"Pothole"
25.416255,81.5704,"Accident"
25.413605,81.568463,"Accident"
25.416255,81.5704,"Accident"
25.411808,81.567589,"Pothole"
25.416255,81.5704,"Accident"
25.416255,81.5704,"Accident"
25.414708,81.561997,"Pothole"
25.414708,81.561997,"Lightening"
25.414708,81.561997,"Pothole"
25.414708,81.561997,"Accident"
25.414708,81.561997,"Accident"
25.414708,81.561997,"Accident"
25.414708,81.561997,"Lightening"
25.414708,81.561997,"Lightening"
25.414708,81.561997,"Lightening"
25.414708,81.561997,"Pothole"
25.411565,81.568573,"Lightening"
25.410866,81.56886,"Lightening"
25.410866,81.56886,"Accident"
25.410866,81.56886,"Lightening"
25.410866,81.56886,"Accident"
25.411565,81.568573,"Accident"
25.411405,81.570848,"Lightening"
25.411405,81.570848,"Pothole"
25.411565,81.568573,"Lightening"
25.411565,81.568573,"Lightening"
25.411405,81.570848,"Accident"
25.410866,81.56886,"Pothole"
25.410866,81.56886,"Pothole"
25.411405,81.570848,"Lightening"
25.411565,81.568573,"Lightening"
25.411565,81.568573,"Pothole"
25.411206,81.569635,"Pothole"
25.410866,81.56886,"Accident"
25.411565,81.568573,"Accident"
25.411405,81.570848,"Pothole"
25.411453,81.570155,"Accident"
25.413947,81.570682,"Lightening"
25.410492,81.572345,"Lightening"
25.410492,81.572345,"Lightening"
25.411206,81.569635,"Lightening"
25.411739,81.568945,"Pothole"
25.410492,81.572345,"Accident"
25.409796,81.580245,"Lightening"
25.408538,81.58035,"Lightening"
25.408432,81.578487,"Pothole"
25.408928,81.577588,"Lightening"
25.407766,81.577375,"Pothole"
25.408538,81.58035,"Pothole"
25.409796,81.580245,"Lightening"
25.409171,81.574483,"Accident"
25.408538,81.58035,"Pothole"
25.408928,81.577588,"Lightening"
25.409897,81.572179,"Pothole"
25.409719,81.578637,"Accident"
25.409796,81.580245,"Lightening"
25.408538,81.58035,"Lightening"
25.410383,81.57847,"Lightening"
25.408846,81.572264,"Pothole"
25.409135,81.578741,"Pothole"
25.409604,81.57366,"Lightening"
25.409171,81.574483,"Accident"
25.409171,81.574483,"Accident"
25.409897,81.572179,"Accident"
25.409171,81.574483,"Accident"
25.409796,81.580245,"Lightening"
25.408315,81.575361,"Pothole"
25.409093,81.580096,"Lightening"
25.408177,81.579095,"Accident"
25.409171,81.574483,"Lightening"
25.409897,81.572179,"Pothole"
25.40812,81.579803,"Lightening"
25.409135,81.578741,"Lightening"
25.411122,81.577715,"Pothole"
25.411937,81.580479,"Pothole"
25.411738,81.581432,"Accident"
25.412258,81.578124,"Accident"
25.406997,81.57986,"Pothole"
25.408169,81.576116,"Pothole"
25.410832,81.580611,"Lightening"
25.413128,81.578946,"Lightening"
25.412258,81.578124,"Pothole"
25.411937,81.580479,"Pothole"
25.41119,81.582513,"Accident"
25.402858,81.57841,"Lightening"
25.411273,81.581638,"Accident"
25.413128,81.578946,"Lightening"
25.412258,81.578124,"Accident"
25.406537,81.579661,"Accident"
25.413128,81.578946,"Pothole"
25.406997,81.57986,"Lightening"
25.408169,81.576116,"Lightening"
25.41046,81.582214,"Pothole"
25.405832,81.583528,"Pothole"
25.412727,81.578219,"Pothole"
25.412258,81.578124,"Pothole"
25.405832,81.583528,"Accident"
25.414547,81.57977,"Accident"
25.411345,81.57753,"Pothole"
25.410238,81.581543,"Lightening"
25.410406,81.579072,"Pothole"
25.413128,81.578946,"Lightening"
25.410406,81.579072,"Pothole"
25.416537,81.571853,"Lightening"
25.41407,81.57769,"Accident"
25.416537,81.571853,"Lightening"
25.416828,81.575412,"Pothole"
