"Latitude","Longitude","problem"
20.421477,81.566136,"Speeding"
20.419466,81.564334,"Drink And Drive"
20.422767,81.5677,"Speeding"
20.521477,81.666136,"Speeding"
20.519466,81.664334,"Drink And Drive"
20.431477,81.566136,"Speeding"
20.429466,81.564334,"Drink And Drive"
20.442767,81.5677,"Speeding"
20.551477,81.666136,"Speeding"
20.579466,81.664334,"Drink And Drive"
20.481477,81.566136,"Speeding"
20.429466,81.564334,"Drink And Drive"
20.422767,81.5677,"Speeding"
20.501477,81.666136,"Speeding"
20.512466,81.664334,"Drink And Drive"
20.512466,81.664334,"Drink And Drive"
